scope,activities,training_cases,distinct_variants,measured_mean_case_energy,events_per_case_variants,events_per_case_pooled,case_energy_variants_hmm,case_energy_pooled_hmm,case_energy_variants_true,case_energy_variants_ols,pooled_vs_variants_gap,true_error_percent,hmm_error_percent,ols_error_percent,future_cases,future_measured_mean_case_energy,future_events_per_case,future_hmm_error_percent,settled_cases,settled_measured_mean_case_energy,settled_events_per_case,settled_hmm_error_percent
top3,5,49457,3,384.1121648144636,4.592009220130619,4.5920092201307625,384.1145951853315,384.1145951853429,384.11415161641594,384.1198272930651,1.1425527191022411e-11,0.0005172452565518575,0.0006327242640369069,0.0019948544470608826,19743,364.46086070839283,4.3143899103479715,5.392550091315218,13945,384.57029169277587,4.598350663320186,0.11849498447696465
learnable,35,131896,6576,508.56756972179573,6.345135561351369,6.345135561359232,508.56487697936893,508.56487697979094,508.5687419366186,508.5622437850981,4.220055416226387e-10,0.00023049342755260963,0.0005294758429593577,0.0010472426900072474,62036,429.47289594112584,5.7112321877619445,18.41605879805868,62036,429.47289594112584,5.7112321877619445,18.41605879805868
