span_minutes,noise_seed,training_rank,activities,condition_number,ols_mean_cost_error,weighted_regression_mean_cost_error,hmm_mean_cost_error,independent_em_mean_cost_error,ols_known_x_test_rmse,weighted_regression_test_rmse,hmm_known_x_test_rmse,independent_decoder_test_rmse,independent_decoder_test_mae,independent_decoder_test_relative_error,independent_decoder_state_accuracy,independent_decoder_event_energy_mae,independent_em_decoder_test_rmse,independent_em_decoder_test_mae,independent_em_decoder_test_relative_error,independent_em_decoder_state_accuracy,independent_em_decoder_event_energy_mae,pooled_decoder_test_rmse,pooled_decoder_test_mae,pooled_decoder_test_relative_error,pooled_decoder_state_accuracy,pooled_decoder_event_energy_mae,variant_decoder_test_rmse,variant_decoder_test_mae,variant_decoder_test_relative_error,variant_decoder_state_accuracy,variant_decoder_event_energy_mae,represented_test_events_percent,weighted_reward_estimator,hmm_reward_estimator,weighted_regression_uses_transitions,hmm_transitions_affect_reward_estimate,uses_true_baseline,main_comparison_uses_logged_test_activities,decoder_uses_test_activity_labels,top_variants_define_scope_before_split
10080.0,0,5,5,6.361748295312443,0.0032206277384318584,0.0037431253571895695,0.0037431253571895695,0.0037431253571895695,3.816662116593658,3.817009502125526,3.817009502125526,28.95457447826943,6.96820456401509,0.006118244381516267,0.6056830787609865,6.688061587661002,28.95457447826943,6.96820456401509,0.006118244381516267,0.6056830787609865,6.688061587661002,29.12061605909474,7.767257360142758,0.006819831172709153,0.6591549077256049,6.579796217588287,16.091680833284688,6.95242389029058,0.006104388585885622,0.9547898129688385,2.186474875233264,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
10080.0,1,5,5,6.361748295312443,0.0017240844482401484,0.002498504436174187,0.002498504436174187,0.002498504436174187,3.8612394672525117,3.861305867520253,3.861305867520253,28.83616077225015,6.99181874108989,0.006139377230957633,0.6045582542723937,6.676145132339536,28.83616077225015,6.99181874108989,0.006139377230957633,0.6045582542723937,6.676145132339536,29.014851244221862,7.76436275822815,0.006817732795420083,0.6597832579571635,6.583900956163512,16.146097262594573,6.988045896889554,0.006136064371365983,0.955162168661614,2.1696467827952866,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
10080.0,2,5,5,6.361748295312443,0.0030141910172247323,0.0035920725505846464,0.0035920725505846464,0.0035920725505846464,3.8663320605136415,3.8667755242661745,3.8667755242661745,28.796610375213195,6.955210576296043,0.006107146614719813,0.6049228525549031,6.691596043492369,28.796610375213195,6.955210576296043,0.006107146614719813,0.6049228525549031,6.691596043492369,29.0034963612561,7.719440522114572,0.006778192340118778,0.6597444709058328,6.595467819373158,15.582728324913731,6.768170060600088,0.005942912356142366,0.9553018020464048,2.1634571870397896,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
10080.0,3,5,5,6.361748295312443,0.002945600019644701,0.0031676341818055675,0.0031676341818055675,0.0031676341818055675,3.8299277906020848,3.829323023583161,3.829323023583161,28.90420449134304,6.994141299460305,0.0061412448619668665,0.6065751809415945,6.685466197915946,28.90420449134304,6.994141299460305,0.0061412448619668665,0.6065751809415945,6.685466197915946,29.028917082354504,7.756756071516358,0.006810863025230263,0.6605822712145777,6.586441298760866,16.154035603724346,6.954024339498149,0.006106019941037069,0.9553638613285341,2.1606419308089944,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
10080.0,4,5,5,6.361748295312443,0.0014059446956920852,0.0023487443684572897,0.0023487443684572897,0.0023487443684572897,3.845026551147775,3.8455721637753078,3.8455721637753078,29.050093610374397,7.008820718128168,0.006154367064090462,0.6058149547355111,6.683827362163378,29.050093610374397,7.008820718128168,0.006154367064090462,0.6058149547355111,6.683827362163378,29.23386306757907,7.773262270482387,0.006825614639315565,0.6599539209830191,6.577738055207757,16.49055594801732,7.071542834769148,0.006209442653033246,0.9548518722509677,2.1835376918036036,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
120.0,0,5,5,57.68419040990193,0.005135620769735283,0.003303066607666949,0.003303066607666949,0.003303066607666949,3.8272272684048056,3.827639245239085,3.827639245239085,15.95623447920884,5.401987430418283,0.004757468556055222,0.3913124461587415,12.513663377311628,15.95623447920884,5.401987430418283,0.004757468556055222,0.3913124461587415,12.513663377311628,15.880142282034535,5.903528857920041,0.005199170355926664,0.4572801142404793,12.465466883869537,4.653130874604205,2.9700286498688655,0.002615670268458988,0.8697099750875041,6.001860644022293,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
120.0,1,5,5,57.68419040990193,0.007099604224075051,0.004716015894474878,0.004716015894474878,0.004716015894474878,3.853678522003698,3.8533565025157994,3.8533565025157994,16.264367813240405,5.513288177314822,0.004855839023406991,0.391591838635323,12.525331754597815,16.264367813240405,5.513288177314822,0.004855839023406991,0.391591838635323,12.525331754597815,16.26811160795392,6.00595300182056,0.005289754502401607,0.45727235333835203,12.478278735161979,4.616205605939528,2.988210230924629,0.002631871830892553,0.8699738457598312,5.990782742178698,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
120.0,2,5,5,57.68419040990193,0.007902709491915516,0.006404994231256467,0.006404994231256467,0.006404994231256467,3.860029184404268,3.860147790464197,3.860147790464197,15.97266986972004,5.466942407048154,0.004814889410987395,0.3887979138695082,12.517386355410668,15.97266986972004,5.466942407048154,0.004814889410987395,0.3887979138695082,12.517386355410668,16.15432976894244,6.008443202808658,0.005291804339556449,0.458126052572351,12.48364561031761,4.685394084160413,2.9891282261302634,0.0026326090111216667,0.8697875841087768,5.999090698786695,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
120.0,3,5,5,57.68419040990193,0.003511446573389776,0.0023915683674957224,0.0023915683674957224,0.0023915683674957224,3.819892853428875,3.81935063692929,3.81935063692929,16.19197217394336,5.519842660991952,0.004861491759408479,0.38966713490776167,12.536667668831484,16.19197217394336,5.519842660991952,0.004861491759408479,0.38966713490776167,12.536667668831484,16.143412126612567,5.9604059974675625,0.005249509165214171,0.4612769788360199,12.465896499117818,4.5755858650749905,2.9301275589720737,0.0025806516338997484,0.8700048893683402,5.98793406507316,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
120.0,4,5,5,57.68419040990193,0.0023637485919081767,0.0011227085420870253,0.0011227085420870253,0.0011227085420870253,3.849656211343869,3.850092363793485,3.850092363793485,15.984221211923497,5.492778565852756,0.004837852849158963,0.388557325903563,12.524566769779348,15.984221211923497,5.492778565852756,0.004837852849158963,0.388557325903563,12.524566769779348,16.135992434934153,6.034960915668713,0.005315388652645993,0.4575129413042972,12.465604203781272,4.696384232166775,2.998686437970372,0.00264114119179262,0.8701290638023764,5.982782809975921,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
