scope,activities,cost_error_without_baum_welch,cost_error_with_baum_welch,baum_welch_update_accepted,change_percent,baum_welch_helps
top1,5,0.0007988544638848794,0.008143727105330355,True,919.4256242528708,False
top2,5,0.0009935567980178916,0.006615698821427429,True,565.8601536042528,False
top3,5,0.0009690981058312787,0.006059168425923645,True,525.2378773071871,False
top5,7,0.014343127260160975,0.01837440249180438,True,28.105971302649944,False
learnable,35,0.573062283300056,0.5900154189012661,True,2.9583408462310814,False
