scope,activities,events,training_rank,ols_cost_error,weighted_cost_error,weighted_wins_of_30,ols_cost_error_shared35,weighted_cost_error_shared35,shared35_worse_than_thesis_seeds,reconstruction_rmse,represented_test_events_percent,variant_state_accuracy,variant_event_energy_mae,pooled_state_accuracy,no_transition_state_accuracy,srm_group_a_true_cost,srm_group_a_weighted_median,srm_group_b_true_cost,srm_group_b_weighted_median
35 learnable (thesis),35,1590195,35,0.5415840476505185,0.4499258458664013,24,0.5415840476505185,0.4499258458664013,0,4.009632649697695,58.90265894984063,0.48666960241570206,19.076743695856578,0.22062573393725884,0.2892782251300117,,,,
37 co-occurring merged,37,1595091,37,0.55604286311755,0.4991275622781123,22,0.5723416840487954,0.5194885430186431,24,4.009073002505429,58.545073015965905,0.4850174623842895,19.08962979945534,0.21355733117082623,0.270958518738361,71.80543915111686,71.78651540123323,101.23986862238813,101.23418085237674
