section,fact,value,note
The Markov Reward Layer,most_frequent_training_path_cases,37591,
The Markov Reward Layer,most_frequent_training_path_expected_energy,413.0048887419019,
The Markov Reward Layer,recording_end,2019-01-18 14:34:00,
The Markov Reward Layer,events_after_recording_end,7,
The Markov Reward Layer,observation_margin_days,120.98958333333333,
The Markov Reward Layer,cut_to_recording_end_days,118.50277777777778,
The Correlated Chain Stress Test,top3_median_case_days,63.88055555555555,
The Correlated Chain Stress Test,top3_cases_shortened_percent:10080_minutes,97.74779605757062,
The Correlated Chain Stress Test,top3_cases_shortened_percent:120_minutes,99.47984813710559,
The Correlated Chain Stress Test,top3_cases_shortened_percent:30_minutes,99.52274725981853,
The Correlated Chain Stress Test,top3_cases_shortened_percent:0_minutes,99.93565131593058,
The Correlated Chain Stress Test,example_case,4508059628_00010,"most frequent path, duration closest to the median"
The Correlated Chain Stress Test,example:original:Create Purchase Order Item,"day 0, 11:59",
The Correlated Chain Stress Test,example:original:Vendor creates invoice,"day 13, 23:59",
The Correlated Chain Stress Test,example:original:Record Goods Receipt,"day 15, 07:45",
The Correlated Chain Stress Test,example:original:Record Invoice Receipt,"day 43, 11:55",
The Correlated Chain Stress Test,example:original:Clear Invoice,"day 64, 09:07",
The Correlated Chain Stress Test,example:10080_minutes:Create Purchase Order Item,"day 0, 11:59",
The Correlated Chain Stress Test,example:10080_minutes:Vendor creates invoice,"day 1, 23:29",
The Correlated Chain Stress Test,example:10080_minutes:Record Goods Receipt,"day 2, 02:58",
The Correlated Chain Stress Test,example:10080_minutes:Record Invoice Receipt,"day 5, 05:03",
The Correlated Chain Stress Test,example:10080_minutes:Clear Invoice,"day 7, 11:59",
The Correlated Chain Stress Test,example:120_minutes:Create Purchase Order Item,"day 0, 11:59",
The Correlated Chain Stress Test,example:120_minutes:Vendor creates invoice,"day 0, 12:24",
The Correlated Chain Stress Test,example:120_minutes:Record Goods Receipt,"day 0, 12:26",
The Correlated Chain Stress Test,example:120_minutes:Record Invoice Receipt,"day 0, 13:19",
The Correlated Chain Stress Test,example:120_minutes:Clear Invoice,"day 0, 13:59",
The Correlated Chain Stress Test,example:30_minutes:Create Purchase Order Item,"day 0, 11:59",
The Correlated Chain Stress Test,example:30_minutes:Vendor creates invoice,"day 0, 12:05",
The Correlated Chain Stress Test,example:30_minutes:Record Goods Receipt,"day 0, 12:05",
The Correlated Chain Stress Test,example:30_minutes:Record Invoice Receipt,"day 0, 12:19",
The Correlated Chain Stress Test,example:30_minutes:Clear Invoice,"day 0, 12:29",
The Correlated Chain Stress Test,example:0_minutes:Create Purchase Order Item,"day 0, 11:59",
The Correlated Chain Stress Test,example:0_minutes:Vendor creates invoice,"day 0, 11:59",
The Correlated Chain Stress Test,example:0_minutes:Record Goods Receipt,"day 0, 11:59",
The Correlated Chain Stress Test,example:0_minutes:Record Invoice Receipt,"day 0, 11:59",
The Correlated Chain Stress Test,example:0_minutes:Clear Invoice,"day 0, 11:59",
Composition of Variant Models,top2:empty_columns,0,
Composition of Variant Models,top2:rank_without_empty_columns,10,
Composition of Variant Models,top2:non_empty_columns,10,
Composition of Variant Models,top3:empty_columns,3,
Composition of Variant Models,top3:rank_without_empty_columns,12,
Composition of Variant Models,top3:non_empty_columns,12,
Composition of Variant Models,top3_factorial_create_purchase_order_item:variant_1,99.79894882645343,
Composition of Variant Models,top3_factorial_create_purchase_order_item:variant_2,99.79378433116301,
Composition of Variant Models,top3_factorial_create_purchase_order_item:variant_3,99.82451356112517,
Composition of Variant Models,top3_empty_column:variant_3:Clear Invoice,True,this activity never occurs in this variant
Composition of Variant Models,top3_empty_column:variant_3:Record Invoice Receipt,True,this activity never occurs in this variant
Composition of Variant Models,top3_empty_column:variant_3:Vendor creates invoice,True,this activity never occurs in this variant
Composition of Variant Models,top5:empty_columns,11,
Composition of Variant Models,top5:rank_without_empty_columns,24,
Composition of Variant Models,top5:non_empty_columns,24,
Evaluation Metrics,held_out_intervals,21115,
Evaluation Metrics,held_out_events,476880,
Evaluation Metrics,held_out_intervals_without_event_percent,84.24342884205541,
Evaluation Metrics,busiest_one_percent_intervals,211,
Evaluation Metrics,busiest_one_percent_event_share_percent,42.762539842308335,
Evaluation Metrics,busiest_interval_events,10187,
Evaluation Metrics,busiest_interval_meter,496627.0661016868,
Evaluation Metrics,top1:attribution_error_floor,0.15854875104195199,every activity and every cost exactly right
Evaluation Metrics,top2:attribution_error_floor,0.15838307452393133,every activity and every cost exactly right
Evaluation Metrics,top3:attribution_error_floor,0.15845486338592019,every activity and every cost exactly right
Evaluation Metrics,top5:attribution_error_floor,0.15897700075945795,every activity and every cost exactly right
Evaluation Metrics,learnable:attribution_error_floor,0.15944263340816925,every activity and every cost exactly right
Evaluation Metrics,goods_receipt_average_true_energy,100.79992483647652,
"RQ1, Reconstruction of the Aggregate Signal",top1:noise_floor_rmse,3.737856426316972,
"RQ1, Reconstruction of the Aggregate Signal",top1:perfect_model_rmse,3.8042696083686773,
"RQ1, Reconstruction of the Aggregate Signal",top1:perfect_model_variance,14.47246725315757,
"RQ1, Reconstruction of the Aggregate Signal",top1:background_variance_part,13.971570663759085,
"RQ1, Reconstruction of the Aggregate Signal",top1:duration_variance_part,0.5785986926867138,
"RQ1, Reconstruction of the Aggregate Signal",top2:noise_floor_rmse,3.73750046987345,
"RQ1, Reconstruction of the Aggregate Signal",top2:perfect_model_rmse,3.9071645467395713,
"RQ1, Reconstruction of the Aggregate Signal",top2:perfect_model_variance,15.26593479529864,
"RQ1, Reconstruction of the Aggregate Signal",top2:background_variance_part,13.96890976230426,
"RQ1, Reconstruction of the Aggregate Signal",top2:duration_variance_part,1.1905522519561076,
"RQ1, Reconstruction of the Aggregate Signal",top3:noise_floor_rmse,3.739977696215909,
"RQ1, Reconstruction of the Aggregate Signal",top3:perfect_model_rmse,3.915343808353396,
"RQ1, Reconstruction of the Aggregate Signal",top3:perfect_model_variance,15.329917137611274,
"RQ1, Reconstruction of the Aggregate Signal",top3:background_variance_part,13.987433168192458,
"RQ1, Reconstruction of the Aggregate Signal",top3:duration_variance_part,1.230488354212716,
"RQ1, Reconstruction of the Aggregate Signal",top5:noise_floor_rmse,3.7293440843279404,
"RQ1, Reconstruction of the Aggregate Signal",top5:perfect_model_rmse,3.9552237869974363,
"RQ1, Reconstruction of the Aggregate Signal",top5:perfect_model_variance,15.643795205230342,
"RQ1, Reconstruction of the Aggregate Signal",top5:background_variance_part,13.908007299311803,
"RQ1, Reconstruction of the Aggregate Signal",top5:duration_variance_part,1.6525358983469938,
"RQ1, Reconstruction of the Aggregate Signal",learnable:noise_floor_rmse,3.753996000258641,
"RQ1, Reconstruction of the Aggregate Signal",learnable:perfect_model_rmse,4.016385357284513,
"RQ1, Reconstruction of the Aggregate Signal",learnable:perfect_model_variance,16.131351338209445,
"RQ1, Reconstruction of the Aggregate Signal",learnable:background_variance_part,14.092485969957874,
"RQ1, Reconstruction of the Aggregate Signal",learnable:duration_variance_part,2.074837229523894,
"RQ1, Reconstruction of the Aggregate Signal",top5:ols_squared_error_share_in_busiest_one_percent,0.30306738252658555,
"RQ1, Reconstruction of the Aggregate Signal",top5:weighted_squared_error_share_in_busiest_one_percent,0.11985814636274912,
"RQ1, Recovery of the Two Noise Sources",top1:realized_per_event_variance,0.03986472400939113,
"RQ1, Recovery of the Two Noise Sources",top2:realized_per_event_variance,0.03978595084216263,
"RQ1, Recovery of the Two Noise Sources",top3:realized_per_event_variance,0.039794375650309896,
"RQ1, Recovery of the Two Noise Sources",top5:realized_per_event_variance,0.03974699618795639,
"RQ1, Recovery of the Two Noise Sources",learnable:realized_per_event_variance,0.03980272826058846,
"RQ1, Recovery of the Two Noise Sources",top3:variance_design_eigenvalue_ratio,42120.41342840308,
"RQ1, Recovery of the Two Noise Sources",learnable:variance_design_eigenvalue_ratio,210970.77915000505,
"RQ1, Recovery of the Two Noise Sources",whole_system_variance_14h_80_events_median_terms,39.143349144763576,
"RQ1, Recovery of the Two Noise Sources",whole_system_variance_14h_80_events_true_terms,39.95000000000001,
