scope,noise_seed,ols_test_rmse,ridge_test_rmse,weighted_regression_test_rmse,ols_mean_cost_error,ridge_mean_cost_error,weighted_regression_mean_cost_error,ridge_alpha,weighted_interval_noise_variance,weighted_event_variance,weighted_background_variance
top5,17,4.981260917856529,4.940843072114655,4.220599708715883,0.03777731408506822,0.03696826887554673,0.019122686791010274,1.0,0.20256009340974515,0.06103971280022331,8.135766852798543
top5,18,4.978413279670238,4.937833581891181,4.148838668492967,0.03825875308211251,0.03748038181215537,0.01553498224806812,1.0,0.05670150967226989,0.06566089940869967,8.153158369093871
top5,19,4.739466762643237,4.702741858284534,4.206325047001808,0.032825934739293725,0.032052258770365834,0.01816376716967711,1.0,0.050260864264923516,0.05348723315236088,8.51519533149244
top5,20,4.763234307535315,4.725628287694301,4.012968181582993,0.03572883874989685,0.034918693066392184,0.011608812985207757,1.0,1e-08,0.06905716131869812,8.15821661769977
top5,21,4.6968468150784854,4.661668415740449,4.015471558545519,0.03247988471306635,0.031708465417694044,0.006176122643621186,1.0,1e-08,0.06373641638092238,8.234148687139124
top5,22,5.004985059777661,4.963846426108003,4.123277770168772,0.039348104221658735,0.038573786066386874,0.016344937690191536,1.0,0.0074403656663349785,0.06820271679773561,8.142262961667168
top5,23,4.858797587522298,4.82062994783059,4.162776091371639,0.03494000762286805,0.03412507904318218,0.01601135002378586,1.0,0.027083293163346397,0.058140005685605664,8.312201585769637
top5,24,4.642870742314379,4.608715766458974,4.073582448226945,0.030475148827166367,0.02970264892856811,0.011905907553478201,1.0,1e-08,0.06992059022892638,8.27798388202671
top5,25,4.750438290933943,4.713966944891268,4.042071158802025,0.03420843815766033,0.033432217325797965,0.010243338635072874,1.0,1e-08,0.07372443760535766,8.09297453695014
top5,26,4.933084017231508,4.894099339395958,4.183941807249445,0.03681715195137641,0.036006072886614504,0.01651831123076824,1.0,1e-08,0.06312061024246506,8.181657767928401
top5,27,4.973168776795054,4.933057041936659,4.19397404924558,0.0398298275653516,0.039051565812505525,0.01799785491642655,1.0,1e-08,0.06566822477417504,8.22478120835708
top5,28,4.703825392344124,4.667943632299124,4.03026448823207,0.034223808366003486,0.03345050555228925,0.011108454192594763,1.0,1e-08,0.05335460198848919,8.339771727889639
top5,29,4.709469959214569,4.673486707284983,4.053991195364811,0.03287141342068166,0.032057610423999607,0.012200662525717831,1.0,0.22083615837789278,0.06217178094530943,7.870059448322089
learnable,0,4.008392560145054,4.009075828706391,4.006091717345068,0.5374993925772786,0.594085441124891,0.4863796001653472,0.1,1e-08,0.08187947435318253,7.40191060229093
