scope,activity,training_events,visits_counted,visits_chain,energy_real,energy_predicted,cost_true,cost_estimated,visit_gap,energy_gap,cost_error
top3,Record Goods Receipt,68739,1.0,1.0000000000000207,100.79875164080906,100.79888695709774,100.79974713116576,100.79888695709566,2.0650148258027912e-14,0.0001353162886772452,0.0008601740700981964
top3,Create Purchase Order Item,73499,1.0,1.0000000000000204,99.79822937539231,99.79904716589115,99.80019500878372,99.79904716588912,2.042810365310288e-14,0.0008177904988428963,0.0011478428945963515
top3,Record Invoice Receipt,53935,0.8640030733768729,0.864003073376907,85.36469990926682,85.36407339540739,98.80040449706955,98.80065942562769,3.4083846855992306e-14,-0.0006265138594301334,0.00025492855813524784
top3,Clear Invoice,42731,0.8640030733768729,0.8640030733769074,49.93887716864285,49.940089571574795,57.79931231792771,57.80082399057536,3.452793606584237e-14,0.00121240293194802,0.0015116726476520626
top3,Vendor creates invoice,61911,0.8640030733768729,0.8640030733769071,48.2116067203526,48.21249809537185,55.8002330592767,55.801303931635374,3.419486915845482e-14,0.0008913750192505177,0.001070872358674535
learnable,Record Goods Receipt,227790,1.245708740219567,1.2457087402195082,125.56733648691122,125.57364072789115,100.79992483647652,100.80497685659942,-5.88418203051333e-14,0.006304240979929432,0.0050520201229034
learnable,Create Purchase Order Item,189439,1.0,1.000000000000008,99.79925553567264,99.79913320633928,99.8001072381468,99.79913320633848,7.993605777301127e-15,-0.0001223293333652009,0.0009740318083117927
learnable,Record Invoice Receipt,158308,0.876106932734882,0.8761069327349219,86.55992117173835,86.55573039705803,98.8004066894595,98.79585146856343,3.985700658404312e-14,-0.004190774680324694,0.004555220896079959
learnable,Record Service Entry Sheet,131427,0.8888214957239037,0.8888214957239389,73.5938637191961,73.583405402219,82.7993128463988,82.78760781126904,3.519406988061746e-14,-0.010458316977093318,0.011705035129764951
learnable,Clear Invoice,118591,0.8608524898404804,0.8608524898405243,49.75680326044602,49.757444323415164,57.80007161272391,57.8001979556717,4.39648317751562e-14,0.0006410629691444569,0.0001263429477873501
learnable,Vendor creates invoice,164041,0.8527248741432644,0.8527248741433104,47.58256693152799,47.586080730340164,55.79997026036436,55.80472925472884,4.6074255521943996e-14,0.003513798812171842,0.004758994364479463
learnable,Remove Payment Block,35520,0.2144720082489234,0.21447200824913917,13.04008775550632,13.04118484642614,60.800821728803555,60.80599959355527,2.1577184483589917e-13,0.0010970909198189105,0.005177864751715333
learnable,Receive Order Confirmation,22482,0.10808515800327531,0.10808515800351953,7.3281185292695,7.327294421416924,67.80027586467484,67.79186482919633,2.442213098419188e-13,-0.0008241078525763612,0.008411035478516737
learnable,Change Delivery Indicator,2319,0.01250227451931825,0.012502274519587867,0.6725925604109874,0.6713672446456467,53.803732047007934,53.699608306775374,2.696159268067433e-13,-0.0012253157653406843,0.10412374023255921
learnable,SRM: In Transfer to Execution Syst.,1257,0.006027476193364469,0.006027476193635808,0.5352003601707064,0.5347883437198017,88.79712645976818,88.72508601269386,2.7133937458012625e-13,-0.0004120164509047175,0.07204044707431478
learnable,SRM: Change was Transmitted,1070,0.005322375204706738,0.005322375204978269,0.49922438169860667,0.5092564757105168,93.79814944050592,95.68218250268887,2.715301941624837e-13,0.010032094011910131,1.8840330621829509
learnable,Delete Purchase Order Item,6460,0.04861405956207921,0.04861405956233922,0.47628371432133243,0.4761816661428174,9.798938959552967,9.795143018907849,2.6000729347330775e-13,-0.00010204817851505732,0.003795940645117568
learnable,SRM: Created,1202,0.005762115606235216,0.005762115606506628,0.459714072870441,0.45964288986626195,79.79206799830492,79.76981394598009,2.7141223296611727e-13,-7.118300417907619e-05,0.02225405232482558
learnable,Change Approval for Purchase Order,4762,0.019386486322557166,0.019386486322824956,0.44202860908009683,0.44179757586341944,22.804023370507327,22.788945273866506,2.677892629865397e-13,-0.00023103321667738985,0.015078096640820604
learnable,Vendor creates debit memo,5131,0.01950779401953054,0.01950779401979829,0.4253097277373634,0.4260308845122604,21.801180894983947,21.839008761312805,2.677510990700682e-13,0.0007211567748969805,0.037827866328857596
learnable,Change Quantity,15259,0.07361102686965489,0.07361102686990824,0.27972261371035545,0.28143807902836443,3.8010352336430744,3.823314128272468,2.533528942194607e-13,0.0017154653180089796,0.022278894629393697
learnable,Release Purchase Order,1134,0.0044883847880148,0.004488384788286547,0.27729405667630685,0.27737425303774915,61.79662915783903,61.79823391292562,2.717470345969808e-13,8.019636144229736e-05,0.0016047550865891935
learnable,SRM: Ordered,1201,0.005762115606235216,0.00576211560650663,0.26390280814851924,0.25288715337029444,45.803373468256986,43.887899972838476,2.7141396768959325e-13,-0.011015654778224804,1.9154734954185102
learnable,Cancel Invoice Receipt,3728,0.020713289258203434,0.020713289258470862,0.22372448437773604,0.22442680697711215,10.802148416883808,10.834918789411056,2.6742844050353654e-13,0.0007023225993761095,0.03277037252724746
learnable,Create Purchase Requisition Item,9377,0.01174410141323467,0.011744101413504501,0.1503635310665755,0.15035388694312993,12.80047790112171,12.802502434987364,2.698310325177644e-13,-9.644123445562425e-06,0.0020245338656543765
learnable,Change Price,8788,0.04586947291805665,0.04586947291831739,0.1284447861593256,0.12781023240143133,2.800924933117935,2.786389820284853,2.60735877333218e-13,-0.000634553757894285,0.014535112833081953
learnable,Reactivate Purchase Order Item,444,0.0019485048826348031,0.001948504882907227,0.11461096946114559,0.11454114115229537,58.81680170336996,58.78411809848616,2.7242379359304625e-13,-6.982830885021718e-05,0.0326836048838004
learnable,Cancel Goods Receipt,2012,0.008946442651786256,0.008946442652056817,0.10559292981785891,0.10582280536089388,11.80354872363197,11.828478589371482,2.7056135110115065e-13,0.0002298755430349686,0.02492986573951228
learnable,Change Storage Location,333,0.0017741250682355796,0.0017741250685080505,0.06708044625347014,0.06700557754864003,37.8099534014024,37.7682378418723,2.724708479673321e-13,-7.486870483010277e-05,0.041715559530103974
learnable,Cancel Subsequent Invoice,308,0.0017589616061139078,0.0017589616063863815,0.05946467757410625,0.05942564968291469,33.80324526130588,33.78450641967053,2.724736668929806e-13,-3.9027891191562025e-05,0.01873884163535422
learnable,Block Purchase Order Item,387,0.0017741250682355796,0.00177412506850805,0.0581825653365563,0.0583661527211701,32.79508981628408,32.898555889440814,2.724704142864631e-13,0.0001835873846137981,0.1034660731567314
learnable,Update Order Confirmation,174,0.001114514465942864,0.00111451446621551,0.02652716178184608,0.026891778096280437,23.805765154550944,24.12869362530146,2.726460550384058e-13,0.0003646163144343552,0.3229284707505151
