scope,noise_seed,independent_test_rmse,independent_test_mae,independent_test_relative_error,independent_state_accuracy,independent_event_energy_mae,independent_em_test_rmse,independent_em_test_mae,independent_em_test_relative_error,independent_em_state_accuracy,independent_em_event_energy_mae,weighted_regression_mean_cost_error,hmm_mean_cost_error,independent_em_mean_cost_error,pooled_hmm_test_rmse,pooled_hmm_test_mae,pooled_hmm_test_relative_error,pooled_hmm_state_accuracy,pooled_hmm_event_energy_mae,variant_hmm_test_rmse,variant_hmm_test_mae,variant_hmm_test_relative_error,variant_hmm_state_accuracy,variant_hmm_event_energy_mae,variant_hmm_lrm_test_rmse,variant_hmm_lrm_event_energy_mae,represented_test_events_percent,training_variants_available,selected_variant_experts,uses_true_baseline,decoder_uses_test_activity_labels
top3,0,27.91683482077929,7.904433213262112,0.006373258560297959,0.6963220406041752,1.5786475872834567,27.91683482077929,7.904433213262112,0.006373258560297959,0.6963220406041752,1.5786475872834567,0.001713018499025054,0.001713018499025054,0.001713018499025054,28.112158065008778,8.37248982066087,0.006750647513980708,0.7378416328557132,1.5210901334303841,5.091584086638155,2.8982965778730048,0.002336865019520899,0.9997982979449663,0.16750006919021745,5.092800969606524,0.1675087996416451,100.0,3,3,True,False
top3,1,28.138819414650374,7.947839358325058,0.006408640776015156,0.6952592259295749,1.585236316031361,28.138819414650374,7.947839358325058,0.006408640776015156,0.6952592259295749,1.585236316031361,0.002006583556064356,0.002006583556064356,0.002006583556064356,28.154406391926283,8.37892772735205,0.006756243486042056,0.7354522392806995,1.5264545951005257,4.89762520717823,2.911513526542846,0.0023476624859783742,0.999844844573051,0.1654222264127701,4.899816795898649,0.16544907758904184,100.0,3,3,True,False
top3,2,27.928939337689965,7.880234922524857,0.0063538857321844494,0.6959651831221927,1.5797315939185612,27.928939337689965,7.880234922524857,0.0063538857321844494,0.6959651831221927,1.5797315939185612,0.0018211611565007503,0.0018211611565007503,0.0018211611565007503,28.08036845980614,8.383542536230612,0.006759706002400475,0.735948736646936,1.5248493133539545,5.194143906852447,2.930580350700598,0.0023629463918786986,0.9997982979449663,0.16750867636188627,5.197044320075863,0.16752037591728092,100.0,3,3,True,False
top3,3,27.625120750320974,7.931146945388984,0.006394832144106658,0.6954531702132611,1.5801816514952873,27.625120750320974,7.931146945388984,0.006394832144106658,0.6954531702132611,1.5801816514952873,0.001492720568720074,0.001492720568720074,0.001492720568720074,27.930572156396146,8.414350199575901,0.006784435781927023,0.7370037935501889,1.520236881860069,4.970664672705943,2.8888737344806588,0.0023292800832876645,0.9998293290303562,0.1661188003263604,4.974185170953486,0.1661291864363902,100.0,3,3,True,False
top3,4,27.59664751181061,7.895806333915334,0.006366781785757422,0.6961048230064467,1.5806226330117739,27.59664751181061,7.895806333915334,0.006366781785757422,0.6961048230064467,1.5806226330117739,0.0017268523360499445,0.0017268523360499445,0.0017268523360499445,27.94892491996396,8.3663147192202,0.00674617612383001,0.7368253648091976,1.5255070881840391,5.12265472765209,2.944337425807078,0.002374165867421516,0.9997982979449663,0.16750203723806284,5.123897884021123,0.16751111175447606,100.0,3,3,True,False
learnable,0,55.67780687274156,5.847268605106121,0.0035214557572116664,0.2922370407649723,26.123627669636562,55.67780687274156,5.847268605106121,0.0035214557572116664,0.2922370407649723,26.123627669636562,0.4863796001653472,0.4863796001653472,0.4863796001653472,53.847841109882275,5.830158219636781,0.0035111512082866346,0.22364326455292735,26.25888300331327,306.4105696363116,26.53598425653802,0.01598101623925108,0.4854806240563664,19.229406990842808,306.4432547813916,19.224242053369252,58.90265894984063,6576,6576,True,False
learnable,1,62.17063598138857,5.85021376503389,0.003523243993401709,0.29133954034557963,26.009554212677774,62.17063598138857,5.85021376503389,0.003523243993401709,0.29133954034557963,26.009554212677774,0.3878031042029015,0.3878031042029015,0.3878031042029015,60.15367870194266,5.896535095239014,0.0035511406404245952,0.22355728904546218,26.1515689104006,305.9117700995724,26.47064152789892,0.015941730082083497,0.4858287200134206,19.14737918210553,305.9224309818912,19.147612289080534,58.90265894984063,6576,6576,True,False
learnable,2,59.216606555262025,5.914664400000835,0.003562053519242864,0.28791519879214894,26.076421683664165,59.216606555262025,5.914664400000835,0.003562053519242864,0.28791519879214894,26.076421683664165,0.449133434808933,0.449133434808933,0.449133434808933,57.13486559694121,5.837240056506704,0.0035154254036699325,0.22020843818151317,26.174114146659285,304.99888971976185,25.942154637297076,0.015623429661117134,0.48714561315215565,19.071950785460885,304.98690909331566,19.067427464018056,58.90265894984063,6576,6576,True,False
learnable,3,64.14822746617958,5.912107699286409,0.0035604617158968154,0.2896514846502265,25.99552502418159,64.14822746617958,5.912107699286409,0.0035604617158968154,0.2896514846502265,25.99552502418159,0.47418433911929636,0.47418433911929636,0.47418433911929636,62.030018347696654,5.999711200740814,0.00361321936663186,0.22118981714477437,26.12379111513741,306.1912453139585,26.59314726875651,0.01601524998724936,0.4862816641503104,19.136450161729027,306.0797795884291,19.130992357489685,58.90265894984063,6576,6576,True,False
learnable,4,60.30808463847066,5.881971849894715,0.003542383899505184,0.2900205502432478,26.015574778508423,60.30808463847066,5.881971849894715,0.003542383899505184,0.2900205502432478,26.015574778508423,0.32457414268839935,0.32457414268839935,0.32457414268839935,59.33830452234522,5.893966951715594,0.003549607880960309,0.2215819493373595,26.156796641548578,306.0377268316135,26.278437093705325,0.015826038417128395,0.4866758933064922,19.096534816469454,305.86615641006046,19.098053915878666,58.90265894984063,6576,6576,True,False
