K,role,test_rmse_1step,energy_max_err,energy_mean_err,sigma_min,sigma_max
1,lin.reg. baseline,1.565685068086719,0.025738678258591108,0.010163716207839003,1.7553059677935041,1.7553059677935041
2,,1.023033251388273,0.009446380271512567,0.0029612812831445014,0.772413326125878,1.6077034854023842
3,,1.0202966329287109,0.012407460763924405,0.005030151832124829,0.7288863663088442,4.271687760531277
4,,0.9194487142244203,0.007514709553845478,0.003391873195053563,0.6129860828256959,4.015558526241888
6,CHOSEN,0.8743457783853451,0.006845743526582737,0.002444773643658493,0.44982802091936597,4.348901227153525
8,,0.8667478100707321,0.005255573579432848,0.0017260898729134055,0.4149738654763544,4.359763785673271
12,,0.8298670600254549,0.002143716681231922,0.0010546471862880936,0.4342282344068353,5.018661239990721
